"","Sample","Observed","Shannon","Simpson","Farm_Num","Sample_group","Farm_type","Sample_type","Company","TotalReads","m_Observed","sd_Observed","m_Shannon","sd_Shannon","m_Simpson","sd_Simpson"
"50","C4F8PC",79,3.11981896092759,0.932425460880659,"FN13","C4F8PC","Processing_plant",NA,"A",70438646,79,NA,3.11981896092759,NA,0.932425460880659,NA
"51","C4F8PP",207,3.75059020432699,0.939188170281182,"FN13","C4F8PP","Processing_plant",NA,"A",52197909,207,NA,3.75059020432699,NA,0.939188170281182,NA
"52","C4F8S",237,4.47666617333667,0.980799125441035,"FN6","C4F8S","Breeder","Soil","A",154575322,237,NA,4.47666617333667,NA,0.980799125441035,NA
"53","C6F35L",200,3.15545748883044,0.928396497886052,"FN7","C6F35L","Broiler","Litter","A",111132855,200,NA,3.15545748883044,NA,0.928396497886052,NA
"54","C6F35S",277,3.77689067537412,0.957025667379548,"FN7","C6F35S","Broiler","Soil","A",162311647,277,NA,3.77689067537412,NA,0.957025667379548,NA
"55","C6F37L",227,2.7563470818442,0.884298783598897,"FN8","C6F37L","Broiler","Litter","A",80326418,227,NA,2.7563470818442,NA,0.884298783598897,NA
"56","C6F37S",524,4.59069595017631,0.977300609892046,"FN8","C6F37S","Broiler","Soil","A",122346380,524,NA,4.59069595017631,NA,0.977300609892046,NA
"57","C6F60L",289,3.44584573430293,0.947054535172619,"FN9","C6F60L","Broiler","Litter","A",168284624,289,NA,3.44584573430293,NA,0.947054535172619,NA
"58","C6F60S",474,4.52932894197794,0.977347532237067,"FN9","C6F60S","Broiler","Soil","A",52399580,474,NA,4.52932894197794,NA,0.977347532237067,NA
"59","C7F14L",347,2.94372174524524,0.832818433037076,"FN10","C7F14L","Broiler","Litter","A",121058992,347,NA,2.94372174524524,NA,0.832818433037076,NA
"60","C7F14S",516,4.6022695924378,0.969142239878356,"FN10","C7F14S","Broiler","Soil","A",123612642,516,NA,4.6022695924378,NA,0.969142239878356,NA
"61","C7F22L",284,3.24449216794471,0.930624161645009,"FN11","C7F22L","Broiler","Litter","A",113751816,284,NA,3.24449216794471,NA,0.930624161645009,NA
"62","C7F22S",687,4.66615759677807,0.975851384438236,"FN11","C7F22S","Broiler","Soil","A",160557093,687,NA,4.66615759677807,NA,0.975851384438236,NA
"63","C7F81L",294,3.01908490796803,0.896281013197139,"FN12","C7F81L","Broiler","Litter","A",168742545,294,NA,3.01908490796803,NA,0.896281013197139,NA
"64","C7F81S",171,4.03557365368559,0.966392957490984,"FN12","C7F81S","Broiler","Soil","A",34932807,171,NA,4.03557365368559,NA,0.966392957490984,NA
"65","C8F40F1",130,1.51143351148583,0.468536247788669,"FN13","C8F40F","Broiler",NA,"A",28819691,161,40.6324993078201,2.51445278554962,0.978003933349423,0.744132473026498,0.242278439877583
"66","C8F40F2",207,3.46535751104972,0.923570505260014,"FN13","C8F40F","Broiler",NA,"A",25708322,161,40.6324993078201,2.51445278554962,0.978003933349423,0.744132473026498,0.242278439877583
"67","C8F40F3",146,2.56656733411332,0.840290666030811,"FN13","C8F40F","Broiler",NA,"A",28248469,161,40.6324993078201,2.51445278554962,0.978003933349423,0.744132473026498,0.242278439877583
"68","C8F40L1",128,2.98573265720913,0.92334843169608,"FN13","C8F40L","Broiler","Litter","A",32271884,152,25.0599281722833,3.1168975142252,0.115393443858958,0.930998055592706,0.0066283802812284
"69","C8F40L2",150,3.16217028742855,0.9350416501562,"FN13","C8F40L","Broiler","Litter","A",33113040,152,25.0599281722833,3.1168975142252,0.115393443858958,0.930998055592706,0.0066283802812284
"70","C8F40L3",178,3.20278959803792,0.934604084925838,"FN13","C8F40L","Broiler","Litter","A",33755052,152,25.0599281722833,3.1168975142252,0.115393443858958,0.930998055592706,0.0066283802812284
"71","C8F40S1",294,3.74121001696108,0.948099442277575,"FN13","C8F40S","Broiler","Soil","A",44339553,245,44.8441746495573,3.57169176535119,0.147040030330212,0.935425801027601,0.0111456974440561
"72","C8F40S2",235,3.49520562557622,0.931028228869069,"FN13","C8F40S","Broiler","Soil","A",35036511,245,44.8441746495573,3.57169176535119,0.147040030330212,0.935425801027601,0.0111456974440561
"73","C8F40S3",206,3.47865965351626,0.927149731936159,"FN13","C8F40S","Broiler","Soil","A",35347268,245,44.8441746495573,3.57169176535119,0.147040030330212,0.935425801027601,0.0111456974440561
